set_id,set_size,x_center,y_center,x_rel,y_rel,x_min,x_max,y_min,y_max,sap,sape,sapend,smp
S116,17,5817.412,2104.706,0.616512,0.315312,5808.0,5828.0,1964.5,2234.0,12,2,2,1
S117,9,5816.889,3065.056,0.616457,0.459184,5808.0,5828.0,2993.0,3124.0,4,2,2,1
S118,5,5820.2,2961.7,0.616808,0.4437,5808.5,5828.0,2947.0,2986.0,0,2,2,1
S119,6,5887.083,2075.75,0.623896,0.310974,5887.0,5887.5,2014.5,2153.0,1,2,2,1
S120,6,5907.0,2091.417,0.626007,0.313321,5907.0,5907.0,2011.0,2170.5,1,2,2,1
S121,19,5946.961,2490.526,0.630242,0.373113,5946.5,5947.0,2163.5,2821.0,14,2,2,1
S122,19,5966.474,2478.0,0.63231,0.371236,5966.0,5966.5,2151.5,2808.0,14,2,2,1
S123,15,5986.033,2552.083,0.634383,0.382335,5986.0,5986.5,2303.5,2795.0,10,2,2,1
S124,15,6006.0,2539.5,0.636499,0.380449,6006.0,6006.0,2290.5,2782.0,10,2,2,1
S125,15,6026.0,2566.833,0.638618,0.384544,6026.0,6026.0,2318.0,2809.5,10,2,2,1
S126,11,6045.932,2593.477,0.64073,0.388536,6045.5,6046.0,2432.0,2758.0,6,2,2,1
S127,11,6065.409,2604.182,0.642795,0.39014,6065.0,6065.5,2443.0,2768.0,6,2,2,1
S128,11,6085.045,2649.636,0.644876,0.396949,6085.0,6085.5,2488.0,2814.0,6,2,2,1
S129,6,6105.0,2632.833,0.64699,0.394432,6105.0,6105.0,2555.5,2717.0,1,2,2,1
S130,6,6125.0,2683.417,0.64911,0.40201,6125.0,6125.0,2606.0,2767.0,1,2,2,1
S131,6,6164.333,2913.0,0.653278,0.436404,6164.0,6164.5,2832.5,2992.0,1,2,2,1
S132,6,6184.083,2905.75,0.655371,0.435318,6184.0,6184.5,2825.5,2985.0,1,2,2,1
S133,19,6224.0,3314.737,0.659602,0.49659,6224.0,6224.0,2987.5,3645.0,14,2,2,1
S134,19,6243.974,3307.421,0.661718,0.495494,6243.5,6244.0,2980.0,3638.0,14,2,2,1
S135,15,6263.133,3387.467,0.663749,0.507486,6263.0,6263.5,3138.5,3630.0,10,2,2,1
S136,15,6283.033,3380.267,0.665858,0.506407,6283.0,6283.5,3131.5,3623.0,10,2,2,1
S137,11,6323.0,3444.0,0.670093,0.515955,6323.0,6323.0,3282.5,3608.0,6,2,2,1
S138,11,6342.955,3436.818,0.672208,0.514879,6342.5,6343.0,3275.0,3601.0,6,2,2,1
S139,6,6382.083,3506.75,0.676355,0.525356,6382.0,6382.5,3426.5,3586.0,1,2,2,1
S140,6,6402.083,3499.667,0.678474,0.524295,6402.0,6402.5,3419.5,3579.0,1,2,2,1
S141,19,6422.0,3915.947,0.680585,0.586659,6422.0,6422.0,3588.5,4246.0,14,2,2,1
S142,19,6441.974,3908.658,0.682702,0.585567,6441.5,6442.0,3581.0,4239.0,14,2,2,1
S143,15,6481.033,3981.467,0.686841,0.596474,6481.0,6481.5,3732.5,4224.0,10,2,2,1
S144,15,6501.0,3974.267,0.688957,0.595396,6501.0,6501.0,3725.5,4217.0,10,2,2,1
S145,11,6520.955,4045.5,0.691072,0.606067,6520.5,6521.0,3884.0,4209.5,6,2,2,1
S146,6,6560.125,4116.042,0.695223,0.616635,6560.0,6560.5,4035.5,4196.75,1,2,2,1
S147,6,6580.208,4108.792,0.697351,0.615549,6580.0,6581.25,4028.5,4189.25,1,2,2,1
S148,19,6619.974,4517.368,0.701566,0.676759,6619.5,6620.0,4190.0,4847.5,14,2,2,1
S149,19,6639.895,4509.947,0.703677,0.675648,6639.5,6640.0,4182.5,4840.0,14,2,2,1
S150,15,6679.033,4581.367,0.707825,0.686347,6679.0,6679.5,4332.5,4824.0,10,2,2,1
S151,15,6699.0,4574.0,0.709941,0.685243,6699.0,6699.0,4325.5,4817.0,10,2,2,1
S152,11,6718.955,4642.864,0.712055,0.69556,6718.5,6719.0,4481.5,4807.0,6,2,2,1
S153,6,6738.875,4692.417,0.714166,0.702984,6738.5,6739.0,4631.5,4770.0,1,2,2,1
S154,6,6758.0,4713.958,0.716193,0.706211,6758.0,6758.0,4633.5,4793.0,1,2,2,1
